                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.98298,                0.79912,                 1.1129,                0.91947,                0.92122,                 0.9779,                0.67604,                 1.0434,                0.71249,                 1.1865,             0.00082925,             0.00082925,             0.00082925
                     36,                0.92259,                0.77087,                  1.059,                0.97894,                0.85157,                0.94624,                0.63533,                 1.0966,                0.79812,                 1.2223,             0.00081688,             0.00081688,             0.00081688
                     37,                0.98621,                 0.8215,                 1.1264,                0.97346,                0.85244,                 0.9457,                0.62846,                 1.0851,                0.75253,                 1.2142,              0.0008045,              0.0008045,              0.0008045
                     38,                0.89883,                0.78973,                 1.0598,                0.95703,                0.88889,                0.95844,                0.63362,                 1.0598,                 0.7288,                 1.2003,             0.00079213,             0.00079213,             0.00079213
                     39,                0.95803,                0.78642,                 1.0861,                0.91204,                0.94444,                 0.9765,                0.66353,                 1.0222,                0.70838,                 1.1919,             0.00077975,             0.00077975,             0.00077975
                     40,                0.97572,                0.82351,                 1.1256,                0.91895,                0.97222,                0.97734,                0.67009,                 1.0408,                0.73194,                 1.2155,             0.00076738,             0.00076738,             0.00076738
                     41,                0.86149,                0.70691,                 1.0338,                0.89142,                0.92666,                0.95245,                0.62346,                 1.0788,                0.82262,                 1.2433,               0.000755,               0.000755,               0.000755
                     42,                 0.9108,                0.72782,                 1.0405,                0.86103,                0.88274,                0.94608,                0.61507,                 1.0797,                0.86926,                 1.2315,             0.00074263,             0.00074263,             0.00074263
                     43,                0.89107,                0.70262,                 1.0479,                0.85836,                0.87222,                0.94251,                0.62528,                 1.0846,                0.86021,                 1.2265,             0.00073025,             0.00073025,             0.00073025
                     44,                0.88869,                0.70629,                 1.0678,                0.89646,                0.95128,                0.96245,                0.67009,                   1.05,                0.75885,                 1.1955,             0.00071788,             0.00071788,             0.00071788
                     45,                0.87858,                0.68913,                 1.0473,                0.94526,                0.97222,                0.98069,                0.69462,                 1.0333,                0.70441,                 1.1758,              0.0007055,              0.0007055,              0.0007055
                     46,                0.84458,                 0.6785,                 1.0245,                0.96729,                0.96428,                0.99225,                0.70486,                 1.0402,                0.65555,                 1.1772,             0.00069313,             0.00069313,             0.00069313
                     47,                0.87916,                 0.7459,                 1.0799,                0.97565,                0.95155,                0.99225,                0.69396,                  1.049,                0.63553,                 1.1781,             0.00068075,             0.00068075,             0.00068075
                     48,                0.86976,                 0.6905,                 1.0667,                0.94397,                0.94925,                0.98379,                0.67282,                 1.0424,                0.63967,                 1.2146,             0.00066838,             0.00066838,             0.00066838
                     49,                0.91836,                0.69081,                 1.0532,                0.89785,                0.94489,                0.97375,                0.65657,                 1.0447,                0.65404,                 1.2206,               0.000656,               0.000656,               0.000656
                     50,                0.86926,                0.69209,                 1.0502,                0.90907,                0.97093,                0.97359,                0.66238,                 1.0398,                0.65766,                 1.2075,             0.00064362,             0.00064362,             0.00064362
                     51,                0.84335,                0.66908,                 1.0309,                0.87093,                0.97222,                0.97427,                0.66906,                 1.0309,                0.67224,                 1.1995,             0.00063125,             0.00063125,             0.00063125
                     52,                0.87199,                0.68039,                 1.0723,                0.90181,                0.96282,                0.98297,                0.68543,                 1.0098,                0.61102,                 1.1758,             0.00061887,             0.00061887,             0.00061887
                     53,                0.82413,                0.62753,                 1.0418,                 0.9476,                0.95429,                   0.99,                0.68596,                 1.0196,                0.59137,                 1.1893,              0.0006065,              0.0006065,              0.0006065
                     54,                0.81595,                0.66082,                 1.0463,                0.93075,                0.97221,                  0.995,                0.68823,                 1.0193,                0.57908,                 1.1775,             0.00059413,             0.00059413,             0.00059413
                     55,                0.85368,                0.65599,                 1.0472,                0.93317,                0.97222,                0.99225,                0.69934,                 1.0183,                0.57456,                 1.1704,             0.00058175,             0.00058175,             0.00058175
